x,P0,dP0_dx,P1,dP1_dx,P2,dP2_dx,P3,dP3_dx,P4,dP4_dx,P5,dP5_dx
0.82,1,0,0.82,1,0.5086,2.46,0.14842,3.543,-0.168467,3.49894,-0.367394,2.02679
0.83,1,0,0.83,1,0.53335,2.49,0.184468,3.66675,-0.132073,3.78127,-0.344892,2.47809
0.84,1,0,0.84,1,0.5584,2.52,0.22176,3.792,-0.0928128,4.07232,-0.317741,2.95668
0.85,1,0,0.85,1,0.58375,2.55,0.260313,3.91875,-0.0505977,4.37219,-0.285664,3.46337
0.86,1,0,0.86,1,0.6094,2.58,0.30014,4.047,-0.0053393,4.68098,-0.248377,3.99895
0.87,1,0,0.87,1,0.63535,2.61,0.341258,4.17675,0.043052,4.9988,-0.205586,4.56422
0.88,1,0,0.88,1,0.6616,2.64,0.38368,4.308,0.0946672,5.32576,-0.156991,5.16
0.89,1,0,0.89,1,0.68815,2.67,0.427423,4.44075,0.149598,5.66196,-0.102282,5.78713
0.9,1,0,0.9,1,0.715,2.7,0.4725,4.575,0.207938,6.0075,-0.0411412,6.44644
0.91,1,0,0.91,1,0.74215,2.73,0.518928,4.71075,0.26978,6.36249,0.0267569,7.13877
0.92,1,0,0.92,1,0.7696,2.76,0.56672,4.848,0.335219,6.72704,0.101747,7.86497
0.93,1,0,0.93,1,0.79735,2.79,0.615893,4.98675,0.404353,7.10125,0.184172,8.62592
0.94,1,0,0.94,1,0.8254,2.82,0.66646,5.127,0.477277,7.48522,0.274384,9.42249
0.95,1,0,0.95,1,0.85375,2.85,0.718438,5.26875,0.55409,7.87906,0.372744,10.2556
0.96,1,0,0.96,1,0.8824,2.88,0.77184,5.412,0.634891,8.28288,0.47962,11.126
0.97,1,0,0.97,1,0.91135,2.91,0.826683,5.55675,0.719781,8.69678,0.595392,12.0348
0.98,1,0,0.98,1,0.9406,2.94,0.88298,5.703,0.808861,9.12086,0.720446,12.9827
0.99,1,0,0.99,1,0.97015,2.97,0.940748,5.85075,0.902233,9.55523,0.85518,13.9708
1,1,0,1,1,1,3,1,6,1,10,1,15
